MMI Score,WEMWBS Score
47,28
58,43
51,43
46,51
53,45
55,34
49,50
51,44
50,41
46,44
63,18
52,48
67,39
64,26
48,59
39,60
50,41
48,58
45,52
54,37
54,59
67,32
56,42
50,45
53,42
47,39
45,46
47,60
53,63
50,32
57,31
49,57
49,43
51,37
65,30
52,52
50,39
51,53
56,25
57,44
44,52
53,28
45,43
52,40
54,30
61,33
53,39
64,40
48,52
55,46
58,27
49,63
43,45
50,55
57,36
58,36
49,44
58,36
47,43
45,55
49,47
56,53
47,48
50,55
52,38
56,41
43,54
55,45
42,52
51,49
34,69
52,45
48,43
51,49
56,31
56,34
51,41
44,69
62,26
50,58
41,70
49,58
51,47
45,44
59,36
58,31
53,62
40,57
58,41
44,56
44,43
41,32
48,44
52,48
56,20
54,39
43,65
44,42
52,37
46,35
